# Mode: Color Science
# Date: 2026-03-13 13:07:15
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=145.65 Y=245.84 Z=52.00
# LAB: L*=140.56 a*=-108.05 b*=109.10
# xy: x=0.3284 y=0.5543
Pixel,Wavelength,Measured,Dark
61,299.22072,0.0,0.06584274768829346
62,299.716775,0.002030014991760254,0.06414684653282166
63,300.212821,0.0014486163854599,0.0650225505232811
64,300.708857,0.0,0.06521623581647873
65,301.204884,0.0013206005096435547,0.06404691189527512
66,301.700902,0.0,0.06780413538217545
67,302.19691,0.0,0.06518084555864334
68,302.692909,0.0,0.06641251593828201
69,303.188899,0.0,0.06513627618551254
70,303.684879,0.0,0.06648103892803192
71,304.18085,0.0,0.06600986421108246
72,304.676813,0.0,0.06797726452350616
73,305.172766,0.0009874626994132996,0.0648045763373375
74,305.66871,0.0,0.06712283939123154
75,306.164645,0.0,0.06601498275995255
76,306.66057,0.0007185041904449463,0.06347937136888504
77,307.156487,0.0,0.06427770853042603
78,307.652395,0.0010109692811965942,0.06407348066568375
79,308.148294,0.0026525333523750305,0.06439221650362015
80,308.644184,0.002598896622657776,0.06493210047483444
81,309.140065,0.0015758052468299866,0.06559716165065765
82,309.635937,0.004279196262359619,0.06383728981018066
83,310.131801,0.0029754266142845154,0.06441085785627365
84,310.627656,0.0,0.06921526789665222
85,311.123502,0.0008509084582328796,0.06360282748937607
86,311.619339,0.0033658668398857117,0.06449898332357407
87,312.115167,0.002338424324989319,0.06374173611402512
88,312.610987,0.0,0.06557595729827881
89,313.106798,0.001626715064048767,0.06557448953390121
90,313.602601,0.00023838132619857788,0.06555604189634323
91,314.098395,0.0006637126207351685,0.06586252152919769
92,314.59418,0.00019007176160812378,0.06549365073442459
93,315.089957,0.0,0.0672176256775856
94,315.585726,0.0,0.0651107057929039
95,316.081485,0.0003975331783294678,0.06436996161937714
96,316.577237,0.0009260177612304688,0.06558673828840256
97,317.07298,0.0011683478951454163,0.06517943739891052
98,317.568715,0.0,0.06665737181901932
99,318.064441,0.0,0.06629572808742523
100,318.560159,0.0029303431510925293,0.06367019563913345
101,319.055869,0.002483762800693512,0.06484992057085037
102,319.551571,0.004351682960987091,0.06447703391313553
103,320.047264,0.001080736517906189,0.06512125581502914
104,320.54295,0.0,0.06551637500524521
105,321.038627,0.0,0.06601887941360474
106,321.534295,0.0,0.06903813779354095
107,322.029956,0.0,0.06474988162517548
108,322.525609,0.0,0.06576144695281982
109,323.021254,0.0,0.06658617407083511
110,323.516891,0.0,0.0650293380022049
111,324.012519,0.0,0.0650048777461052
112,324.50814,0.0005763545632362366,0.06348194926977158
113,325.003753,0.0015333816409111023,0.06290755420923233
114,325.499358,0.0,0.06565868109464645
115,325.994955,0.0015635117888450623,0.06555380672216415
116,326.490544,0.0,0.065493643283844
117,326.986126,0.0005104616284370422,0.06640215963125229
118,327.4817,0.001212485134601593,0.06590420752763748
119,327.977266,0.0,0.06510719656944275
120,328.472824,0.0,0.06560865044593811
121,328.968375,0.0019260197877883911,0.06510694324970245
122,329.463918,0.0,0.06489134579896927
123,329.959453,0.0,0.06680630892515182
124,330.454981,0.00012811273336410522,0.06524021178483963
125,330.950501,0.002233058214187622,0.06455686688423157
126,331.446014,0.00047756731510162354,0.06482481211423874
127,331.941519,0.0,0.06588058173656464
128,332.437017,0.0,0.066336989402771
129,332.932508,0.0036003440618515015,0.06395969539880753
130,333.427991,0.0017543695867061615,0.06244472786784172
131,333.923466,0.0007997751235961914,0.0646938681602478
132,334.418935,0.0,0.0667673721909523
133,334.914396,0.001242324709892273,0.06515365093946457
134,335.409849,0.002506442368030548,0.06526806950569153
135,335.905296,0.0,0.06651366502046585
136,336.400735,0.0,0.06617563962936401
137,336.896167,0.0,0.06600461900234222
138,337.391592,0.00148715078830719,0.0647667795419693
139,337.88701,2.5391578674316406e-05,0.06407180428504944
140,338.38242,0.0,0.06510263681411743
141,338.877824,0.0012203007936477661,0.06361285597085953
142,339.373221,0.0021172761917114258,0.06336315721273422
143,339.86861,0.001359306275844574,0.0641726702451706
144,340.363993,0.0023570433259010315,0.06443995982408524
145,340.859368,0.003669455647468567,0.0634775161743164
146,341.354737,0.0,0.06536184251308441
147,341.850099,0.0009428784251213074,0.06403873860836029
148,342.345454,0.0013339892029762268,0.06663604080677032
149,342.840802,0.0,0.06548450887203217
